,region,ode_name,num,epochs,latent_dim,2015 7,2015 14,2015 21,2015 28,2016 7,2016 14,2016 21,2016 28,2017 7,2017 14,2017 21,2017 28,2018 7,2018 14,2018 21,2018 28,skill 2015 7,skill 2015 14,skill 2015 21,skill 2015 28,skill 2016 7,skill 2016 14,skill 2016 21,skill 2016 28,skill 2018 7,skill 2018 14,skill 2018 21,skill 2018 28,skill 2017 7,skill 2017 14,skill 2017 21,skill 2017 28
1,US,CONN,10.0,120.0,8.0,0.159336223,-0.13864399,0.004551953,0.479690908,0.875795271,1.068386495,1.823087168,3.050724702,5.793826264,5.205254507,5.21870731,5.470467072,2.4387794,2.314241641,2.574070061,3.081605188,,,,,,,,,,,,,,,,
19,US,CONN,11.0,120.0,8.0,-0.01084879,-0.047222829,0.076480381,0.297773869,1.251055419,1.187825495,1.3328951,1.5669236,2.310761585,2.530929932,3.157924169,4.392359654,0.154481268,0.248877024,0.520173954,0.936540333,,,,,,,,,,,,,,,,
37,US,CONN,12.0,120.0,8.0,0.529155789,0.525798709,0.549687366,0.600532801,0.593200604,0.78326721,1.282118637,1.793512823,2.102682437,2.111201376,2.552179257,3.443652657,0.348581273,0.303434383,0.454640357,0.75122156,,,,,,,,,,,,,,,,
55,US,CONN,13.0,120.0,8.0,82.11019136,82.86917602,83.35191755,84.22733888,1.968583491,2.770233433,3.570647965,4.162874427,0.899395003,1.001834193,1.747906,3.490765341,-0.100272629,0.34860255,0.847931884,1.462279447,,,,,,,,,,,,,,,,
73,US,CONN,14.0,120.0,8.0,0.389438273,0.154255986,0.174450021,0.422189971,1.288315932,1.424345207,1.728102737,2.082903107,20.30386789,20.92350588,22.26923484,24.21918704,0.004907294,0.310960564,0.580408702,0.866216438,,,,,,,,,,,,,,,,
5,US,CONNb,10.0,120.0,8.0,259.6790584,380.2377541,551.7252565,795.2250792,1.27997091,1.932119737,3.516390672,6.041324212,1.274827524,1.145234223,1.523372774,2.286310444,0.082611167,0.054034646,0.471252057,1.245705383,,,,,,,,,,,,,,,,
22,US,CONNb,11.0,120.0,8.0,0.524538646,0.196987548,0.109095221,0.539142168,8.96701177,9.38508242,10.00964457,10.81817075,2.147953208,1.788069364,2.140687727,3.190562245,0.379409895,0.344071195,0.579237094,0.994645898,,,,,,,,,,,,,,,,
40,US,CONNb,12.0,120.0,8.0,0.195683006,0.153371705,0.295905141,0.496896674,0.386419006,0.499245986,0.728365323,1.03047025,1.425706713,1.580240782,2.064605956,2.68963521,0.153244592,0.448488699,0.769645435,1.085905324,,,,,,,,,,,,,,,,
58,US,CONNb,13.0,120.0,8.0,0.074115371,-0.208290451,-0.02727974,0.420818882,1.824630616,3.996659965,6.376504327,7.550961956,1.227791308,1.303477211,1.865930337,3.140184364,0.20239171,0.233050453,0.507108881,1.070388592,,,,,,,,,,,,,,,,
76,US,CONNb,14.0,120.0,8.0,0.250697507,0.020629749,0.160421356,0.608467679,0.72931156,0.767370411,0.967477014,1.290535992,5.675883581,5.533915636,6.30123801,7.752209504,0.237262289,0.256101445,0.489734547,0.850528908,,,,,,,,,,,,,,,,
2,US,SONN,10.0,120.0,8.0,0.809070059,0.801961993,0.711330158,0.637385915,0.564767044,0.588247854,0.672732989,0.777985456,1.095985747,1.192831731,1.434896746,1.814880152,1.087049081,1.205083759,1.324115711,1.41856764,,,,,,,,,,,,,,,,
18,US,SONN,11.0,120.0,8.0,2.020035539,1.994105637,1.987556734,1.985540831,4.522829764,6.76637871,7.658733538,7.387347116,1.249427604,1.295756952,1.614270798,2.040346688,-0.118613927,0.059123605,0.494001636,1.33565789,,,,,,,,,,,,,,,,
36,US,SONN,12.0,120.0,8.0,0.442207939,0.31732876,0.391600826,0.500208291,1.305779728,1.336816666,1.106142635,0.985886327,0.790949764,0.898369359,1.147762913,1.649216916,0.270027905,0.465166363,0.806973804,1.196392445,,,,,,,,,,,,,,,,
54,US,SONN,13.0,120.0,8.0,0.119584878,0.102518097,0.17304383,0.304534364,-0.45495497,0.008633628,0.504588797,0.877661565,48.69259222,51.82975809,51.59386212,51.43651888,0.409901719,0.359379818,0.563782466,0.901018851,,,,,,,,,,,,,,,,
72,US,SONN,14.0,120.0,8.0,1.518629427,1.836322219,2.162769843,1.78371177,0.848927323,0.876797909,0.943934014,1.0273171,2.932675236,2.389850697,1.912253233,1.287504219,0.108983527,0.263809955,0.645752893,1.040109809,,,,,,,,,,,,,,,,
3,US,SONNb,10.0,120.0,8.0,1.009904232,0.999572102,1.027301364,1.052426526,0.751728629,1.399402379,1.927848052,1.986987572,0.368099273,0.729983086,1.335461623,1.935753841,0.066756667,0.198554014,0.690540446,1.43667489,,,,,,,,,,,,,,,,
