,region,ode_name,num,epochs,window_size,latent_dim,gamma,2015 7,2015 14,2015 21,2015 28,2016 7,2016 14,2016 21,2016 28,2017 7,2017 14,2017 21,2017 28,2018 7,2018 14,2018 21,2018 28,skill 2015 7,skill 2015 14,skill 2015 21,skill 2015 28,skill 2016 7,skill 2016 14,skill 2016 21,skill 2016 28,skill 2017 7,skill 2017 14,skill 2017 21,skill 2017 28,skill 2018 7,skill 2018 14,skill 2018 21,skill 2018 28
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,US,CONN,15,140,1,8,35,0.249990745,0.70821229,0.924002817,1.375837072,3.107926361,6.032795816,9.36352596,10.03534707,0.992709282,1.21765248,1.644266738,2.187677087,0.278677789,0.434667912,0.630476745,0.808477223,0.887699998,0.715128385,0.631476062,0.539698954,0.211252842,0.098906732,0.135103629,0.110240117,0.282880365,0.273925145,0.251232953,0.21500204,0.64462343,0.557832887,0.479189128,0.42630785
2,US,UONN,15,140,1,8,35,-0.045626124,0.229532942,0.400116569,0.529225741,2.252390191,3.70487581,4.140117872,3.414947746,0.099552985,0.340408696,0.550293227,0.742585564,0.83162768,0.890711747,1.016225254,1.126747025,0.897489338,0.755333648,0.660343494,0.599839819,0.173525025,0.066825663,0.048661572,0.07575612,0.609755146,0.515612366,0.437023489,0.378048076,0.464237817,0.422879369,0.37665999,0.343219457
3,hhs,CONN,15,140,1,8,35,0.783774694,0.873514458,0.986712849,1.076508185,2.203912618,2.479956486,2.634223285,2.717501725,0.955549922,0.951006618,1.059113471,1.229314063,1.165300182,1.258265877,1.392122856,1.543186871,0.470908679,0.429765502,0.388195494,0.358960541,0.221748589,0.131008099,0.099079918,0.087294763,0.408085696,0.393673514,0.346066933,0.295779435,0.442352443,0.396903581,0.340431231,0.287706396
4,US,CONN,16,140,1,8,35,0.575178218,0.189812843,0.123855647,0.329331716,4.205155442,5.781998761,6.982268044,7.029624707,82.37957536,60.71355322,38.91089334,26.53371445,0.803772404,0.699968149,0.653500697,0.819501475,0.663768579,0.697710595,0.664549694,0.596085084,0.12607543,0.055272314,0.09477367,0.085371896,0.00532634,0.007449782,0.010347521,0.009199285,0.588467271,0.635475636,0.657890838,0.680607999
5,US,UONN,16,140,1,8,35,0.511096718,1.762694894,2.054584296,1.879516147,6.692921765,10.92419226,12.6965356,10.45696773,0.903905853,0.784774424,0.916108108,1.274895114,0.110372989,0.311498368,0.543607499,0.896469039,0.913794378,0.653814373,0.535243742,0.483480012,0.153859323,0.176942257,0.156114111,0.105417891,0.384350997,0.405446962,0.359647657,0.274455314,0.929861553,0.814898165,0.678709686,0.543194203
6,hhs,UONN,15,140,1,8,35,0.492762004,0.634941408,0.783484677,0.911093594,3.581823918,3.584224545,3.585036002,3.58531913,1.985093108,1.967665366,1.979805264,2.000605209,3.399475369,1.952357395,1.86668162,1.994599469,0.581116031,0.515612294,0.45839826,0.413099752,0.030595224,0.030522057,0.030497445,0.030488936,0.152790906,0.154958701,0.153060856,0.150029549,0.043132135,0.157760107,0.172476552,0.15466717
7,state,CONN,15,140,1,8,35,1.293398842,1.405264762,1.50056617,1.555302059,1.868738188,1.723238518,1.701546467,1.712539125,3.366333484,3.303113268,3.292194546,3.322200332,1.78220976,1.7700722,1.77447555,1.804566152,0.298856237,0.27869364,0.25799819,0.243142324,0.254074763,0.247131615,0.237589491,0.222945103,0.051899479,0.053899147,0.054863837,0.053969278,0.232575512,0.223083786,0.210321192,0.196862594
8,hhs,CONN,16,140,1,8,35,0.424584242,0.547990988,0.686840592,0.809239623,1.565293534,1.559682295,1.566249381,1.584537323,1.065846288,1.221331989,1.42014262,1.613198361,3.314848668,3.452140769,3.51333106,3.548328597,0.609061668,0.547591896,0.490264141,0.445187081,0.226593769,0.228274424,0.226556687,0.22230044,0.363468995,0.3118934,0.258338668,0.215149546,0.039957971,0.034854151,0.032793801,0.031670834
9,US,CONN,17,140,1,8,35,0.397443258,0.326621351,0.238416916,0.29491764,1.654556573,1.884359862,2.485908949,2.887385034,2.349111952,1.768413594,1.682135919,1.819519048,1.893118165,1.761527871,1.690504624,1.663061139,0.939572016,0.820436736,0.745345699,0.678631738,0.281879136,0.26155142,0.198616443,0.168256192,0.112370676,0.164374397,0.175763472,0.167925308,0.163047592,0.186036014,0.200360604,0.207081352
